,country,year,sex,age,suicides_no,population,suicidesper100pop,gdp_for_year,gdp_per_capita,generation,name,iso_abr
31,Albania,2004,male,55-74 years,10,207202,4.83,7314865176,2544,Silent,Albania,ALB
32,Albania,2004,female,35-54 years,17,391436,4.34,7314865176,2544,Boomers,Albania,ALB
33,Albania,2004,female,55-74 years,3,203841,1.47,7314865176,2544,Silent,Albania,ALB
34,Albania,2004,female,5-14 years,3,286705,1.05,7314865176,2544,Millenials,Albania,ALB
35,Albania,2004,male,5-14 years,1,302181,0.33,7314865176,2544,Millenials,Albania,ALB
36,Albania,2005,female,15-24 years,0,281922,0.0,8158548717,2931,Millenials,Albania,ALB
37,Albania,2005,female,25-34 years,0,190745,0.0,8158548717,2931,Generation X,Albania,ALB
38,Albania,2005,female,35-54 years,0,386513,0.0,8158548717,2931,Boomers,Albania,ALB
39,Albania,2005,female,5-14 years,0,276559,0.0,8158548717,2931,Millenials,Albania,ALB
40,Albania,2005,female,55-74 years,0,210998,0.0,8158548717,2931,Silent,Albania,ALB
41,Albania,2005,female,75+ years,0,53191,0.0,8158548717,2931,Silent,Albania,ALB
42,Albania,2005,male,15-24 years,0,281675,0.0,8158548717,2931,Millenials,Albania,ALB
43,Albania,2005,male,25-34 years,0,177519,0.0,8158548717,2931,Generation X,Albania,ALB
44,Albania,2005,male,35-54 years,0,380242,0.0,8158548717,2931,Boomers,Albania,ALB
45,Albania,2005,male,5-14 years,0,291367,0.0,8158548717,2931,Millenials,Albania,ALB
46,Albania,2005,male,55-74 years,0,214118,0.0,8158548717,2931,Silent,Albania,ALB
47,Albania,2005,male,75+ years,0,38471,0.0,8158548717,2931,Silent,Albania,ALB
48,Albania,2006,female,15-24 years,0,283138,0.0,8992642349,3235,Millenials,Albania,ALB
49,Albania,2006,female,25-34 years,0,186391,0.0,8992642349,3235,Generation X,Albania,ALB
50,Albania,2006,female,35-54 years,0,388746,0.0,8992642349,3235,Boomers,Albania,ALB
51,Albania,2006,female,5-14 years,0,267316,0.0,8992642349,3235,Millenials,Albania,ALB
52,Albania,2006,female,55-74 years,0,215907,0.0,8992642349,3235,Silent,Albania,ALB
53,Albania,2006,female,75+ years,0,56011,0.0,8992642349,3235,Silent,Albania,ALB
54,Albania,2006,male,15-24 years,0,286679,0.0,8992642349,3235,Millenials,Albania,ALB
55,Albania,2006,male,25-34 years,0,174092,0.0,8992642349,3235,Generation X,Albania,ALB
56,Albania,2006,male,35-54 years,0,379076,0.0,8992642349,3235,Boomers,Albania,ALB
57,Albania,2006,male,5-14 years,0,282678,0.0,8992642349,3235,Millenials,Albania,ALB
58,Albania,2006,male,55-74 years,0,219360,0.0,8992642349,3235,Silent,Albania,ALB
59,Albania,2006,male,75+ years,0,40782,0.0,8992642349,3235,Silent,Albania,ALB
60,Albania,2007,male,75+ years,8,42366,18.88,10701011897,3863,Silent,Albania,ALB
61,Albania,2007,male,35-54 years,29,378626,7.66,10701011897,3863,Boomers,Albania,ALB
62,Albania,2007,male,55-74 years,14,224160,6.25,10701011897,3863,Silent,Albania,ALB
63,Albania,2007,female,75+ years,3,57404,5.23,10701011897,3863,Silent,Albania,ALB
64,Albania,2007,male,25-34 years,9,172494,5.22,10701011897,3863,Generation X,Albania,ALB
65,Albania,2007,female,15-24 years,13,281080,4.63,10701011897,3863,Millenials,Albania,ALB
66,Albania,2007,male,15-24 years,13,288349,4.51,10701011897,3863,Millenials,Albania,ALB
67,Albania,2007,female,25-34 years,8,183629,4.36,10701011897,3863,Generation X,Albania,ALB
68,Albania,2007,female,55-74 years,9,221120,4.07,10701011897,3863,Silent,Albania,ALB
69,Albania,2007,female,35-54 years,14,391811,3.57,10701011897,3863,Boomers,Albania,ALB
70,Albania,2007,male,5-14 years,4,272497,1.47,10701011897,3863,Generation Z,Albania,ALB
71,Albania,2007,female,5-14 years,0,256808,0.0,10701011897,3863,Generation Z,Albania,ALB
72,Albania,2008,male,25-34 years,21,172855,12.15,12881352688,4672,Generation X,Albania,ALB
73,Albania,2008,male,35-54 years,37,377119,9.81,12881352688,4672,Boomers,Albania,ALB
74,Albania,2008,male,55-74 years,21,228672,9.18,12881352688,4672,Silent,Albania,ALB
75,Albania,2008,female,75+ years,5,59369,8.42,12881352688,4672,Silent,Albania,ALB
76,Albania,2008,female,15-24 years,20,276073,7.24,12881352688,4672,Millenials,Albania,ALB
77,Albania,2008,female,25-34 years,9,182663,4.93,12881352688,4672,Generation X,Albania,ALB
78,Albania,2008,female,35-54 years,19,393832,4.82,12881352688,4672,Boomers,Albania,ALB
79,Albania,2008,male,75+ years,2,44574,4.49,12881352688,4672,Silent,Albania,ALB
80,Albania,2008,male,15-24 years,11,286702,3.84,12881352688,4672,Millenials,Albania,ALB
81,Albania,2008,female,55-74 years,7,226448,3.09,12881352688,4672,Silent,Albania,ALB
82,Albania,2008,male,5-14 years,7,262464,2.67,12881352688,4672,Generation Z,Albania,ALB
83,Albania,2008,female,5-14 years,1,246288,0.41,12881352688,4672,Generation Z,Albania,ALB
84,Albania,2009,female,15-24 years,0,270003,0.0,12044212904,4387,Millenials,Albania,ALB
85,Albania,2009,female,25-34 years,0,182712,0.0,12044212904,4387,Generation X,Albania,ALB
86,Albania,2009,female,35-54 years,0,394286,0.0,12044212904,4387,Boomers,Albania,ALB
87,Albania,2009,female,5-14 years,0,236174,0.0,12044212904,4387,Generation Z,Albania,ALB
88,Albania,2009,female,55-74 years,0,233302,0.0,12044212904,4387,Silent,Albania,ALB
89,Albania,2009,female,75+ years,0,61582,0.0,12044212904,4387,Silent,Albania,ALB
90,Albania,2009,male,15-24 years,0,283448,0.0,12044212904,4387,Millenials,Albania,ALB
91,Albania,2009,male,25-34 years,0,174955,0.0,12044212904,4387,Generation X,Albania,ALB
92,Albania,2009,male,35-54 years,0,374365,0.0,12044212904,4387,Boomers,Albania,ALB
93,Albania,2009,male,5-14 years,0,253007,0.0,12044212904,4387,Generation Z,Albania,ALB
94,Albania,2009,male,55-74 years,0,234570,0.0,12044212904,4387,Silent,Albania,ALB
95,Albania,2009,male,75+ years,0,47331,0.0,12044212904,4387,Silent,Albania,ALB
96,Albania,2010,male,55-74 years,20,241852,8.27,11926953259,4359,Silent,Albania,ALB
97,Albania,2010,male,35-54 years,20,371611,5.38,11926953259,4359,Generation X,Albania,ALB
98,Albania,2010,male,25-34 years,9,179720,5.01,11926953259,4359,Generation X,Albania,ALB
99,Albania,2010,male,75+ years,2,50767,3.94,11926953259,4359,Silent,Albania,ALB
100,Albania,2010,male,15-24 years,10,279508,3.58,11926953259,4359,Millenials,Albania,ALB
101,Albania,2010,female,25-34 years,6,183579,3.27,11926953259,4359,Generation X,Albania,ALB
102,Albania,2010,female,75+ years,2,64415,3.1,11926953259,4359,Silent,Albania,ALB
103,Albania,2010,female,35-54 years,12,394593,3.04,11926953259,4359,Generation X,Albania,ALB
104,Albania,2010,female,55-74 years,7,241491,2.9,11926953259,4359,Silent,Albania,ALB
105,Albania,2010,female,15-24 years,6,263581,2.28,11926953259,4359,Millenials,Albania,ALB
106,Albania,2010,female,5-14 years,2,223969,0.89,11926953259,4359,Generation Z,Albania,ALB
107,Albania,2010,male,5-14 years,0,240939,0.0,11926953259,4359,Generation Z,Albania,ALB
108,Antigua and Barbuda,2002,female,15-24 years,0,7196,0.0,814615333,10499,Millenials,Antigua and Barbuda,ATG
109,Antigua and Barbuda,2002,female,25-34 years,0,8155,0.0,814615333,10499,Generation X,Antigua and Barbuda,ATG
110,Antigua and Barbuda,2002,female,35-54 years,0,11760,0.0,814615333,10499,Boomers,Antigua and Barbuda,ATG
111,Antigua and Barbuda,2002,female,5-14 years,0,8408,0.0,814615333,10499,Millenials,Antigua and Barbuda,ATG
112,Antigua and Barbuda,2002,female,55-74 years,0,4050,0.0,814615333,10499,Silent,Antigua and Barbuda,ATG
113,Antigua and Barbuda,2002,female,75+ years,0,1547,0.0,814615333,10499,Silent,Antigua and Barbuda,ATG
114,Antigua and Barbuda,2002,male,15-24 years,0,6416,0.0,814615333,10499,Millenials,Antigua and Barbuda,ATG
115,Antigua and Barbuda,2002,male,25-34 years,0,6921,0.0,814615333,10499,Generation X,Antigua and Barbuda,ATG
116,Antigua and Barbuda,2002,male,35-54 years,0,10604,0.0,814615333,10499,Boomers,Antigua and Barbuda,ATG
117,Antigua and Barbuda,2002,male,5-14 years,0,7980,0.0,814615333,10499,Millenials,Antigua and Barbuda,ATG
118,Antigua and Barbuda,2002,male,55-74 years,0,3527,0.0,814615333,10499,Silent,Antigua and Barbuda,ATG
119,Antigua and Barbuda,2002,male,75+ years,0,1024,0.0,814615333,10499,Silent,Antigua and Barbuda,ATG
120,Antigua and Barbuda,2003,male,55-74 years,1,3594,27.82,855643111,10878,Silent,Antigua and Barbuda,ATG
121,Antigua and Barbuda,2003,female,15-24 years,0,7454,0.0,855643111,10878,Millenials,Antigua and Barbuda,ATG
122,Antigua and Barbuda,2003,female,25-34 years,0,7831,0.0,855643111,10878,Generation X,Antigua and Barbuda,ATG
123,Antigua and Barbuda,2003,female,35-54 years,0,12129,0.0,855643111,10878,Boomers,Antigua and Barbuda,ATG
124,Antigua and Barbuda,2003,female,5-14 years,0,8423,0.0,855643111,10878,Millenials,Antigua and Barbuda,ATG
125,Antigua and Barbuda,2003,female,55-74 years,0,4054,0.0,855643111,10878,Silent,Antigua and Barbuda,ATG
126,Antigua and Barbuda,2003,female,75+ years,0,1583,0.0,855643111,10878,Silent,Antigua and Barbuda,ATG
127,Antigua and Barbuda,2003,male,15-24 years,0,6730,0.0,855643111,10878,Millenials,Antigua and Barbuda,ATG
128,Antigua and Barbuda,2003,male,25-34 years,0,6734,0.0,855643111,10878,Generation X,Antigua and Barbuda,ATG
129,Antigua and Barbuda,2003,male,35-54 years,0,10997,0.0,855643111,10878,Boomers,Antigua and Barbuda,ATG
130,Antigua and Barbuda,2003,male,5-14 years,0,8061,0.0,855643111,10878,Millenials,Antigua and Barbuda,ATG
131,Antigua and Barbuda,2003,male,75+ years,0,1068,0.0,855643111,10878,Silent,Antigua and Barbuda,ATG
132,Antigua and Barbuda,2004,male,55-74 years,1,3665,27.29,919577148,11535,Silent,Antigua and Barbuda,ATG
133,Antigua and Barbuda,2004,male,35-54 years,1,11406,8.77,919577148,11535,Boomers,Antigua and Barbuda,ATG
134,Antigua and Barbuda,2004,female,15-24 years,0,7648,0.0,919577148,11535,Millenials,Antigua and Barbuda,ATG
135,Antigua and Barbuda,2004,female,25-34 years,0,7531,0.0,919577148,11535,Generation X,Antigua and Barbuda,ATG
136,Antigua and Barbuda,2004,female,35-54 years,0,12492,0.0,919577148,11535,Boomers,Antigua and Barbuda,ATG
137,Antigua and Barbuda,2004,female,5-14 years,0,8488,0.0,919577148,11535,Millenials,Antigua and Barbuda,ATG
138,Antigua and Barbuda,2004,female,55-74 years,0,4088,0.0,919577148,11535,Silent,Antigua and Barbuda,ATG
139,Antigua and Barbuda,2004,female,75+ years,0,1590,0.0,919577148,11535,Silent,Antigua and Barbuda,ATG
140,Antigua and Barbuda,2004,male,15-24 years,0,6968,0.0,919577148,11535,Millenials,Antigua and Barbuda,ATG
141,Antigua and Barbuda,2004,male,25-34 years,0,6556,0.0,919577148,11535,Generation X,Antigua and Barbuda,ATG
142,Antigua and Barbuda,2004,male,5-14 years,0,8196,0.0,919577148,11535,Millenials,Antigua and Barbuda,ATG
143,Antigua and Barbuda,2004,male,75+ years,0,1094,0.0,919577148,11535,Silent,Antigua and Barbuda,ATG
144,Antigua and Barbuda,2005,female,15-24 years,0,7780,0.0,1022191296,12649,Millenials,Antigua and Barbuda,ATG
145,Antigua and Barbuda,2005,female,25-34 years,0,7327,0.0,1022191296,12649,Generation X,Antigua and Barbuda,ATG
146,Antigua and Barbuda,2005,female,35-54 years,0,12835,0.0,1022191296,12649,Boomers,Antigua and Barbuda,ATG
147,Antigua and Barbuda,2005,female,5-14 years,0,8584,0.0,1022191296,12649,Millenials,Antigua and Barbuda,ATG
148,Antigua and Barbuda,2005,female,55-74 years,0,4157,0.0,1022191296,12649,Silent,Antigua and Barbuda,ATG
149,Antigua and Barbuda,2005,female,75+ years,0,1575,0.0,1022191296,12649,Silent,Antigua and Barbuda,ATG
150,Antigua and Barbuda,2005,male,15-24 years,0,7113,0.0,1022191296,12649,Millenials,Antigua and Barbuda,ATG
151,Antigua and Barbuda,2005,male,25-34 years,0,6444,0.0,1022191296,12649,Generation X,Antigua and Barbuda,ATG
152,Antigua and Barbuda,2005,male,35-54 years,0,11778,0.0,1022191296,12649,Boomers,Antigua and Barbuda,ATG
153,Antigua and Barbuda,2005,male,5-14 years,0,8358,0.0,1022191296,12649,Millenials,Antigua and Barbuda,ATG
154,Antigua and Barbuda,2005,male,55-74 years,0,3748,0.0,1022191296,12649,Silent,Antigua and Barbuda,ATG
155,Antigua and Barbuda,2005,male,75+ years,0,1110,0.0,1022191296,12649,Silent,Antigua and Barbuda,ATG
156,Antigua and Barbuda,2006,female,15-24 years,0,7902,0.0,1157005444,14114,Millenials,Antigua and Barbuda,ATG
157,Antigua and Barbuda,2006,female,25-34 years,0,7098,0.0,1157005444,14114,Generation X,Antigua and Barbuda,ATG
158,Antigua and Barbuda,2006,female,35-54 years,0,13374,0.0,1157005444,14114,Boomers,Antigua and Barbuda,ATG
159,Antigua and Barbuda,2006,female,5-14 years,0,8571,0.0,1157005444,14114,Millenials,Antigua and Barbuda,ATG
160,Antigua and Barbuda,2006,female,55-74 years,0,4256,0.0,1157005444,14114,Silent,Antigua and Barbuda,ATG
161,Antigua and Barbuda,2006,female,75+ years,0,1573,0.0,1157005444,14114,Silent,Antigua and Barbuda,ATG
162,Antigua and Barbuda,2006,male,15-24 years,0,7239,0.0,1157005444,14114,Millenials,Antigua and Barbuda,ATG
163,Antigua and Barbuda,2006,male,25-34 years,0,6319,0.0,1157005444,14114,Generation X,Antigua and Barbuda,ATG
164,Antigua and Barbuda,2006,male,35-54 years,0,12202,0.0,1157005444,14114,Boomers,Antigua and Barbuda,ATG
165,Antigua and Barbuda,2006,male,5-14 years,0,8485,0.0,1157005444,14114,Millenials,Antigua and Barbuda,ATG
166,Antigua and Barbuda,2006,male,55-74 years,0,3847,0.0,1157005444,14114,Silent,Antigua and Barbuda,ATG
167,Antigua and Barbuda,2006,male,75+ years,0,1107,0.0,1157005444,14114,Silent,Antigua and Barbuda,ATG
168,Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,1311401333,15775,Boomers,Antigua and Barbuda,ATG
169,Antigua and Barbuda,2007,female,15-24 years,0,8013,0.0,1311401333,15775,Millenials,Antigua and Barbuda,ATG
170,Antigua and Barbuda,2007,female,25-34 years,0,6962,0.0,1311401333,15775,Generation X,Antigua and Barbuda,ATG
171,Antigua and Barbuda,2007,female,35-54 years,0,13860,0.0,1311401333,15775,Boomers,Antigua and Barbuda,ATG
172,Antigua and Barbuda,2007,female,5-14 years,0,8555,0.0,1311401333,15775,Generation Z,Antigua and Barbuda,ATG
173,Antigua and Barbuda,2007,female,55-74 years,0,4400,0.0,1311401333,15775,Silent,Antigua and Barbuda,ATG
174,Antigua and Barbuda,2007,female,75+ years,0,1568,0.0,1311401333,15775,Silent,Antigua and Barbuda,ATG
175,Antigua and Barbuda,2007,male,15-24 years,0,7330,0.0,1311401333,15775,Millenials,Antigua and Barbuda,ATG
176,Antigua and Barbuda,2007,male,25-34 years,0,6267,0.0,1311401333,15775,Generation X,Antigua and Barbuda,ATG
177,Antigua and Barbuda,2007,male,5-14 years,0,8564,0.0,1311401333,15775,Generation Z,Antigua and Barbuda,ATG
178,Antigua and Barbuda,2007,male,55-74 years,0,3988,0.0,1311401333,15775,Silent,Antigua and Barbuda,ATG
179,Antigua and Barbuda,2007,male,75+ years,0,1094,0.0,1311401333,15775,Silent,Antigua and Barbuda,ATG
180,Antigua and Barbuda,2008,female,15-24 years,0,8108,0.0,1368431037,16238,Millenials,Antigua and Barbuda,ATG
181,Antigua and Barbuda,2008,female,25-34 years,0,6910,0.0,1368431037,16238,Generation X,Antigua and Barbuda,ATG
182,Antigua and Barbuda,2008,female,35-54 years,0,14278,0.0,1368431037,16238,Boomers,Antigua and Barbuda,ATG
183,Antigua and Barbuda,2008,female,5-14 years,0,8537,0.0,1368431037,16238,Generation Z,Antigua and Barbuda,ATG
184,Antigua and Barbuda,2008,female,55-74 years,0,4587,0.0,1368431037,16238,Silent,Antigua and Barbuda,ATG
185,Antigua and Barbuda,2008,female,75+ years,0,1567,0.0,1368431037,16238,Silent,Antigua and Barbuda,ATG
186,Antigua and Barbuda,2008,male,15-24 years,0,7404,0.0,1368431037,16238,Millenials,Antigua and Barbuda,ATG
187,Antigua and Barbuda,2008,male,25-34 years,0,6274,0.0,1368431037,16238,Generation X,Antigua and Barbuda,ATG
188,Antigua and Barbuda,2008,male,35-54 years,0,12782,0.0,1368431037,16238,Boomers,Antigua and Barbuda,ATG
189,Antigua and Barbuda,2008,male,5-14 years,0,8599,0.0,1368431037,16238,Generation Z,Antigua and Barbuda,ATG
190,Antigua and Barbuda,2008,male,55-74 years,0,4158,0.0,1368431037,16238,Silent,Antigua and Barbuda,ATG
191,Antigua and Barbuda,2008,male,75+ years,0,1069,0.0,1368431037,16238,Silent,Antigua and Barbuda,ATG
192,Antigua and Barbuda,2009,female,15-24 years,0,8199,0.0,1224253000,14335,Millenials,Antigua and Barbuda,ATG
193,Antigua and Barbuda,2009,female,25-34 years,0,6917,0.0,1224253000,14335,Generation X,Antigua and Barbuda,ATG
194,Antigua and Barbuda,2009,female,35-54 years,0,14629,0.0,1224253000,14335,Boomers,Antigua and Barbuda,ATG
195,Antigua and Barbuda,2009,female,5-14 years,0,8514,0.0,1224253000,14335,Generation Z,Antigua and Barbuda,ATG
196,Antigua and Barbuda,2009,female,55-74 years,0,4793,0.0,1224253000,14335,Silent,Antigua and Barbuda,ATG
197,Antigua and Barbuda,2009,female,75+ years,0,1571,0.0,1224253000,14335,Silent,Antigua and Barbuda,ATG
198,Antigua and Barbuda,2009,male,15-24 years,0,7489,0.0,1224253000,14335,Millenials,Antigua and Barbuda,ATG
199,Antigua and Barbuda,2009,male,25-34 years,0,6325,0.0,1224253000,14335,Generation X,Antigua and Barbuda,ATG
200,Antigua and Barbuda,2009,male,35-54 years,0,12978,0.0,1224253000,14335,Boomers,Antigua and Barbuda,ATG
201,Antigua and Barbuda,2009,male,5-14 years,0,8599,0.0,1224253000,14335,Generation Z,Antigua and Barbuda,ATG
202,Antigua and Barbuda,2009,male,55-74 years,0,4349,0.0,1224253000,14335,Silent,Antigua and Barbuda,ATG
203,Antigua and Barbuda,2009,male,75+ years,0,1042,0.0,1224253000,14335,Silent,Antigua and Barbuda,ATG
204,Antigua and Barbuda,2012,female,15-24 years,0,8435,0.0,1211411704,13657,Millenials,Antigua and Barbuda,ATG
205,Antigua and Barbuda,2012,female,25-34 years,0,7215,0.0,1211411704,13657,Millenials,Antigua and Barbuda,ATG
206,Antigua and Barbuda,2012,female,35-54 years,0,15193,0.0,1211411704,13657,Generation X,Antigua and Barbuda,ATG
207,Antigua and Barbuda,2012,female,5-14 years,0,8401,0.0,1211411704,13657,Generation Z,Antigua and Barbuda,ATG
208,Antigua and Barbuda,2012,female,55-74 years,0,5512,0.0,1211411704,13657,Boomers,Antigua and Barbuda,ATG
209,Antigua and Barbuda,2012,female,75+ years,0,1625,0.0,1211411704,13657,Silent,Antigua and Barbuda,ATG
210,Antigua and Barbuda,2012,male,15-24 years,0,7893,0.0,1211411704,13657,Millenials,Antigua and Barbuda,ATG
211,Antigua and Barbuda,2012,male,25-34 years,0,6629,0.0,1211411704,13657,Millenials,Antigua and Barbuda,ATG
212,Antigua and Barbuda,2012,male,35-54 years,0,13280,0.0,1211411704,13657,Generation X,Antigua and Barbuda,ATG
213,Antigua and Barbuda,2012,male,5-14 years,0,8475,0.0,1211411704,13657,Generation Z,Antigua and Barbuda,ATG
214,Antigua and Barbuda,2012,male,55-74 years,0,4994,0.0,1211411704,13657,Boomers,Antigua and Barbuda,ATG
215,Antigua and Barbuda,2012,male,75+ years,0,1051,0.0,1211411704,13657,Silent,Antigua and Barbuda,ATG
216,Antigua and Barbuda,2013,female,15-24 years,0,8494,0.0,1192925407,13287,Millenials,Antigua and Barbuda,ATG
217,Antigua and Barbuda,2013,female,25-34 years,0,7397,0.0,1192925407,13287,Millenials,Antigua and Barbuda,ATG
218,Antigua and Barbuda,2013,female,35-54 years,0,15236,0.0,1192925407,13287,Generation X,Antigua and Barbuda,ATG
219,Antigua and Barbuda,2013,female,5-14 years,0,8353,0.0,1192925407,13287,Generation Z,Antigua and Barbuda,ATG
220,Antigua and Barbuda,2013,female,55-74 years,0,5787,0.0,1192925407,13287,Boomers,Antigua and Barbuda,ATG
221,Antigua and Barbuda,2013,female,75+ years,0,1652,0.0,1192925407,13287,Silent,Antigua and Barbuda,ATG
222,Antigua and Barbuda,2013,male,15-24 years,0,8061,0.0,1192925407,13287,Millenials,Antigua and Barbuda,ATG
223,Antigua and Barbuda,2013,male,25-34 years,0,6782,0.0,1192925407,13287,Millenials,Antigua and Barbuda,ATG
224,Antigua and Barbuda,2013,male,35-54 years,0,13302,0.0,1192925407,13287,Generation X,Antigua and Barbuda,ATG
225,Antigua and Barbuda,2013,male,5-14 years,0,8405,0.0,1192925407,13287,Generation Z,Antigua and Barbuda,ATG
226,Antigua and Barbuda,2013,male,55-74 years,0,5238,0.0,1192925407,13287,Boomers,Antigua and Barbuda,ATG
227,Antigua and Barbuda,2013,male,75+ years,0,1072,0.0,1192925407,13287,Silent,Antigua and Barbuda,ATG
228,Antigua and Barbuda,2014,female,15-24 years,0,8537,0.0,1280133333,14093,Millenials,Antigua and Barbuda,ATG
229,Antigua and Barbuda,2014,female,25-34 years,0,7578,0.0,1280133333,14093,Millenials,Antigua and Barbuda,ATG
230,Antigua and Barbuda,2014,female,35-54 years,0,15273,0.0,1280133333,14093,Generation X,Antigua and Barbuda,ATG
231,Antigua and Barbuda,2014,female,5-14 years,0,8296,0.0,1280133333,14093,Generation Z,Antigua and Barbuda,ATG
232,Antigua and Barbuda,2014,female,55-74 years,0,6085,0.0,1280133333,14093,Boomers,Antigua and Barbuda,ATG
233,Antigua and Barbuda,2014,female,75+ years,0,1686,0.0,1280133333,14093,Silent,Antigua and Barbuda,ATG
234,Antigua and Barbuda,2014,male,15-24 years,0,8208,0.0,1280133333,14093,Millenials,Antigua and Barbuda,ATG
235,Antigua and Barbuda,2014,male,25-34 years,0,6928,0.0,1280133333,14093,Millenials,Antigua and Barbuda,ATG
236,Antigua and Barbuda,2014,male,35-54 years,0,13325,0.0,1280133333,14093,Generation X,Antigua and Barbuda,ATG
237,Antigua and Barbuda,2014,male,5-14 years,0,8335,0.0,1280133333,14093,Generation Z,Antigua and Barbuda,ATG
238,Antigua and Barbuda,2014,male,55-74 years,0,5503,0.0,1280133333,14093,Boomers,Antigua and Barbuda,ATG
239,Antigua and Barbuda,2014,male,75+ years,0,1083,0.0,1280133333,14093,Silent,Antigua and Barbuda,ATG
240,Antigua and Barbuda,2015,female,55-74 years,1,6403,15.62,1364863037,14853,Boomers,Antigua and Barbuda,ATG
241,Antigua and Barbuda,2015,female,15-24 years,0,8561,0.0,1364863037,14853,Millenials,Antigua and Barbuda,ATG
242,Antigua and Barbuda,2015,female,25-34 years,0,7740,0.0,1364863037,14853,Millenials,Antigua and Barbuda,ATG
243,Antigua and Barbuda,2015,female,35-54 years,0,15323,0.0,1364863037,14853,Generation X,Antigua and Barbuda,ATG
244,Antigua and Barbuda,2015,female,5-14 years,0,8239,0.0,1364863037,14853,Generation Z,Antigua and Barbuda,ATG
245,Antigua and Barbuda,2015,female,75+ years,0,1724,0.0,1364863037,14853,Silent,Antigua and Barbuda,ATG
246,Antigua and Barbuda,2015,male,15-24 years,0,8331,0.0,1364863037,14853,Millenials,Antigua and Barbuda,ATG
247,Antigua and Barbuda,2015,male,25-34 years,0,7059,0.0,1364863037,14853,Millenials,Antigua and Barbuda,ATG
248,Antigua and Barbuda,2015,male,35-54 years,0,13370,0.0,1364863037,14853,Generation X,Antigua and Barbuda,ATG
249,Antigua and Barbuda,2015,male,5-14 years,0,8268,0.0,1364863037,14853,Generation Z,Antigua and Barbuda,ATG
250,Antigua and Barbuda,2015,male,55-74 years,0,5784,0.0,1364863037,14853,Boomers,Antigua and Barbuda,ATG
251,Antigua and Barbuda,2015,male,75+ years,0,1087,0.0,1364863037,14853,Silent,Antigua and Barbuda,ATG
252,Argentina,2002,male,75+ years,234,566447,41.31,97724004252,2840,Silent,Argentina,ARG
253,Argentina,2002,male,55-74 years,615,2387478,25.76,97724004252,2840,Silent,Argentina,ARG
254,Argentina,2002,male,15-24 years,542,3331708,16.27,97724004252,2840,Millenials,Argentina,ARG
